"Time (UTCG)","Satellite10112 - Satellite11501 - x (km)","Satellite10112 - Satellite11501 - y (km)","Satellite10112 - Satellite11501 - z (km)","Lat (deg)","Lon (deg)","Alt (km)"
21 Mar 2024 13:30:00.000,-784.276674,-107.975103,-7536.671140,-84.037,-172.161,1221.152213
21 Mar 2024 13:30:05.000,-750.952035,-121.424059,-7539.859921,-84.271,-170.815,1221.170046
21 Mar 2024 13:30:10.000,-717.620162,-134.894578,-7542.876450,-84.502,-169.354,1221.186923
21 Mar 2024 13:30:15.000,-684.281828,-148.386362,-7545.720659,-84.728,-167.765,1221.202841
21 Mar 2024 13:30:20.000,-650.937807,-161.899108,-7548.392481,-84.950,-166.033,1221.217800
21 Mar 2024 13:30:25.000,-617.588870,-175.432512,-7550.891855,-85.167,-164.142,1221.231798
21 Mar 2024 13:30:30.000,-584.235790,-188.986271,-7553.218726,-85.378,-162.075,1221.244834
21 Mar 2024 13:30:35.000,-550.879340,-202.560079,-7555.373039,-85.583,-159.811,1221.256907
21 Mar 2024 13:30:40.000,-517.520291,-216.153631,-7557.354745,-85.780,-157.331,1221.268016
21 Mar 2024 13:30:45.000,-484.159415,-229.766620,-7559.163800,-85.967,-154.612,1221.278159
21 Mar 2024 13:30:50.000,-450.797485,-243.398737,-7560.800161,-86.145,-151.634,1221.287336
21 Mar 2024 13:30:55.000,-417.435271,-257.049672,-7562.263791,-86.312,-148.376,1221.295547
21 Mar 2024 13:31:00.000,-384.073546,-270.719117,-7563.554658,-86.465,-144.821,1221.302789
21 Mar 2024 13:31:05.000,-350.713079,-284.406760,-7564.672731,-86.603,-140.960,1221.309063
21 Mar 2024 13:31:10.000,-317.354643,-298.112288,-7565.617984,-86.725,-136.791,1221.314367
21 Mar 2024 13:31:15.000,-283.999008,-311.835389,-7566.390397,-86.827,-132.325,1221.318703
21 Mar 2024 13:31:20.000,-250.646943,-325.575749,-7566.989952,-86.909,-127.591,1221.322068
21 Mar 2024 13:31:25.000,-217.299219,-339.333053,-7567.416634,-86.969,-122.634,1221.324463
21 Mar 2024 13:31:30.000,-183.956606,-353.106985,-7567.670435,-87.005,-117.518,1221.325888
21 Mar 2024 13:31:35.000,-150.619873,-366.897227,-7567.751348,-87.017,-112.319,1221.326342
21 Mar 2024 13:31:40.000,-117.289789,-380.703463,-7567.659372,-87.004,-107.123,1221.325826
21 Mar 2024 13:31:45.000,-83.967122,-394.525374,-7567.394508,-86.966,-102.015,1221.324339
21 Mar 2024 13:31:50.000,-50.652641,-408.362639,-7566.956763,-86.905,-97.071,1221.321882
21 Mar 2024 13:31:55.000,-17.347113,-422.214939,-7566.346147,-86.821,-92.353,1221.318454
21 Mar 2024 13:32:00.000,15.948695,-436.081951,-7565.562673,-86.717,-87.905,1221.314057
21 Mar 2024 13:32:05.000,49.234015,-449.963354,-7564.606360,-86.595,-83.756,1221.308690
21 Mar 2024 13:32:10.000,82.508081,-463.858825,-7563.477229,-86.456,-79.914,1221.302354
21 Mar 2024 13:32:15.000,115.770127,-477.768039,-7562.175307,-86.301,-76.379,1221.295050
21 Mar 2024 13:32:20.000,149.019388,-491.690671,-7560.700622,-86.134,-73.139,1221.286778
21 Mar 2024 13:32:25.000,182.255099,-505.626396,-7559.053209,-85.956,-70.178,1221.277539
21 Mar 2024 13:32:30.000,215.476496,-519.574887,-7557.233105,-85.767,-67.475,1221.267334
21 Mar 2024 13:32:35.000,248.682815,-533.535816,-7555.240352,-85.570,-65.010,1221.256164
21 Mar 2024 13:32:40.000,281.873293,-547.508855,-7553.074996,-85.365,-62.759,1221.244029
21 Mar 2024 13:32:45.000,315.047167,-561.493675,-7550.737085,-85.154,-60.704,1221.230931
