"Time (UTCG)","Satellite10212 - Satellite11501 - x (km)","Satellite10212 - Satellite11501 - y (km)","Satellite10212 - Satellite11501 - z (km)","Lat (deg)","Lon (deg)","Alt (km)"
21 Mar 2024 13:30:00.000,-688.405472,-253.651751,-7542.540625,-84.475,-159.773,1221.185043
21 Mar 2024 13:30:05.000,-653.226082,-261.121595,-7545.413944,-84.703,-158.211,1221.201124
21 Mar 2024 13:30:10.000,-618.037314,-268.611185,-7548.114884,-84.927,-156.509,1221.216246
21 Mar 2024 13:30:15.000,-582.839983,-276.120357,-7550.643383,-85.145,-154.651,1221.230406
21 Mar 2024 13:30:20.000,-547.634900,-283.648947,-7552.999383,-85.358,-152.618,1221.243605
21 Mar 2024 13:30:25.000,-512.422881,-291.196790,-7555.182831,-85.564,-150.392,1221.255841
21 Mar 2024 13:30:30.000,-477.204739,-298.763718,-7557.193677,-85.763,-147.951,1221.267113
21 Mar 2024 13:30:35.000,-441.981287,-306.349564,-7559.031874,-85.953,-145.273,1221.277420
21 Mar 2024 13:30:40.000,-406.753340,-313.954159,-7560.697382,-86.134,-142.337,1221.286760
21 Mar 2024 13:30:45.000,-371.521711,-321.577334,-7562.190161,-86.303,-139.122,1221.295133
21 Mar 2024 13:30:50.000,-336.287214,-329.218918,-7563.510177,-86.460,-135.609,1221.302539
21 Mar 2024 13:30:55.000,-301.050663,-336.878739,-7564.657402,-86.601,-131.785,1221.308977
21 Mar 2024 13:31:00.000,-265.812870,-344.556624,-7565.631807,-86.726,-127.649,1221.314445
21 Mar 2024 13:31:05.000,-230.574650,-352.252399,-7566.433372,-86.833,-123.208,1221.318944
21 Mar 2024 13:31:10.000,-195.336815,-359.965890,-7567.062077,-86.919,-118.487,1221.322473
21 Mar 2024 13:31:15.000,-160.100180,-367.696921,-7567.517909,-86.983,-113.529,1221.325032
21 Mar 2024 13:31:20.000,-124.865557,-375.445315,-7567.800856,-87.024,-108.396,1221.326620
21 Mar 2024 13:31:25.000,-89.633759,-383.210894,-7567.910913,-87.040,-103.165,1221.327238
21 Mar 2024 13:31:30.000,-54.405598,-390.993480,-7567.848077,-87.031,-97.922,1221.326885
21 Mar 2024 13:31:35.000,-19.181887,-398.792893,-7567.612350,-86.997,-92.754,1221.325562
21 Mar 2024 13:31:40.000,16.036561,-406.608953,-7567.203736,-86.939,-87.741,1221.323268
21 Mar 2024 13:31:45.000,51.248935,-414.441477,-7566.622245,-86.859,-82.951,1221.320004
21 Mar 2024 13:31:50.000,86.454423,-422.290282,-7565.867891,-86.758,-78.430,1221.315770
21 Mar 2024 13:31:55.000,121.652214,-430.155187,-7564.940690,-86.637,-74.209,1221.310566
21 Mar 2024 13:32:00.000,156.841496,-438.036005,-7563.840664,-86.500,-70.300,1221.304394
21 Mar 2024 13:32:05.000,192.021459,-445.932551,-7562.567838,-86.347,-66.703,1221.297252
21 Mar 2024 13:32:10.000,227.191292,-453.844640,-7561.122241,-86.181,-63.408,1221.289143
21 Mar 2024 13:32:15.000,262.350185,-461.772082,-7559.503907,-86.004,-60.397,1221.280067
21 Mar 2024 13:32:20.000,297.497329,-469.714692,-7557.712871,-85.816,-57.652,1221.270024
21 Mar 2024 13:32:25.000,332.631915,-477.672277,-7555.749175,-85.619,-55.148,1221.259016
21 Mar 2024 13:32:30.000,367.753132,-485.644650,-7553.612864,-85.415,-52.865,1221.247043
21 Mar 2024 13:32:35.000,402.860174,-493.631618,-7551.303986,-85.204,-50.782,1221.234107
21 Mar 2024 13:32:40.000,437.952231,-501.632990,-7548.822595,-84.987,-48.877,1221.220209
21 Mar 2024 13:32:45.000,473.028498,-509.648573,-7546.168747,-84.765,-47.134,1221.205349
21 Mar 2024 13:32:50.000,508.088165,-517.678172,-7543.342503,-84.538,-45.536,1221.189531
21 Mar 2024 13:32:55.000,543.130429,-525.721593,-7540.343927,-84.307,-44.067,1221.172754
21 Mar 2024 13:33:00.000,578.154481,-533.778640,-7537.173087,-84.073,-42.715,1221.155020
21 Mar 2024 13:33:05.000,613.159517,-541.849117,-7533.830057,-83.836,-41.467,1221.136331
