time,x,y,z,lat,lon,alt
0.0,5694.46656,4268.11501,-2604.68908,-20.208,36.852,1202.535187
5.0,5704.74611,4274.99306,-2570.69379,-19.933,36.847,1202.469473
10.0,5714.90107,4281.76656,-2536.63977,-19.659,36.842,1202.404509
15.0,5724.93114,4288.43544,-2502.52780,-19.384,36.836,1202.340302
20.0,5734.83601,4294.99964,-2468.35865,-19.109,36.831,1202.276857
25.0,5744.61538,4301.45911,-2434.13312,-18.834,36.825,1202.214180
30.0,5754.26895,4307.81380,-2399.85198,-18.560,36.820,1202.152277
35.0,5763.79643,4314.06365,-2365.51601,-18.285,36.814,1202.091154
40.0,5773.19752,4320.20861,-2331.12600,-18.010,36.808,1202.030816
45.0,5782.47193,4326.24863,-2296.68273,-17.736,36.803,1201.971269
50.0,5791.61938,4332.18367,-2262.18700,-17.461,36.797,1201.912518
55.0,5800.63958,4338.01368,-2227.63958,-17.186,36.791,1201.854570
60.0,5809.53225,4343.73864,-2193.04128,-16.911,36.785,1201.797428
65.0,5818.29712,4349.35849,-2158.39287,-16.637,36.779,1201.741099
70.0,5826.93389,4354.87321,-2123.69515,-16.362,36.773,1201.685587
75.0,5835.44231,4360.28277,-2088.94892,-16.087,36.767,1201.630899
80.0,5843.82211,4365.58713,-2054.15496,-15.812,36.761,1201.577038
85.0,5852.07301,4370.78627,-2019.31407,-15.537,36.755,1201.524010
90.0,5860.19475,4375.88016,-1984.42705,-15.263,36.749,1201.471819
95.0,5868.18707,4380.86879,-1949.49470,-14.988,36.743,1201.420471
100.0,5876.04971,4385.75213,-1914.51781,-14.713,36.737,1201.369971
105.0,5883.78242,4390.53017,-1879.49718,-14.438,36.731,1201.320322
110.0,5891.38494,4395.20290,-1844.43361,-14.163,36.724,1201.271530
115.0,5898.85702,4399.77030,-1809.32791,-13.888,36.718,1201.223598
120.0,5906.19843,4404.23237,-1774.18087,-13.614,36.712,1201.176532
125.0,5913.40890,4408.58910,-1738.99330,-13.339,36.705,1201.130336
130.0,5920.48822,4412.84048,-1703.76600,-13.064,36.699,1201.085014
135.0,5927.43612,4416.98652,-1668.49978,-12.789,36.693,1201.040570
140.0,5934.25239,4421.02721,-1633.19544,-12.514,36.686,1200.997009
145.0,5940.93679,4424.96257,-1597.85379,-12.239,36.680,1200.954333
150.0,5947.48909,4428.79259,-1562.47563,-11.964,36.673,1200.912548
155.0,5953.90906,4432.51730,-1527.06178,-11.689,36.667,1200.871658
160.0,5960.19649,4436.13670,-1491.61304,-11.414,36.660,1200.831665
165.0,5966.35114,4439.65079,-1456.13023,-11.139,36.653,1200.792574
170.0,5972.37282,4443.05962,-1420.61415,-10.864,36.647,1200.754387
175.0,5978.26130,4446.36318,-1385.06561,-10.590,36.640,1200.717110
180.0,5984.01636,4449.56151,-1349.48544,-10.315,36.634,1200.680745
185.0,5989.63782,4452.65462,-1313.87443,-10.040,36.627,1200.645296
190.0,5995.12545,4455.64256,-1278.23341,-9.765,36.620,1200.610765
195.0,6000.47906,4458.52533,-1242.56318,-9.490,36.613,1200.577156
200.0,6005.69845,4461.30299,-1206.86457,-9.215,36.607,1200.544473
205.0,6010.78343,4463.97556,-1171.13839,-8.940,36.600,1200.512718
210.0,6015.73380,4466.54308,-1135.38545,-8.665,36.593,1200.481893
215.0,6020.54937,4469.00559,-1099.60657,-8.390,36.586,1200.452003
220.0,6025.22997,4471.36314,-1063.80257,-8.115,36.579,1200.423049
225.0,6029.77539,4473.61576,-1027.97427,-7.840,36.572,1200.395035
230.0,6034.18548,4475.76351,-992.12249,-7.565,36.566,1200.367963
235.0,6038.46004,4477.80644,-956.24803,-7.290,36.559,1200.341835
240.0,6042.59890,4479.74459,-920.35174,-7.015,36.552,1200.316654
245.0,6046.60190,4481.57803,-884.43441,-6.740,36.545,1200.292423
250.0,6050.46887,4483.30681,-848.49689,-6.465,36.538,1200.269142
255.0,6054.19964,4484.93099,-812.53997,-6.190,36.531,1200.246816
260.0,6057.79405,4486.45063,-776.56450,-5.915,36.524,1200.225445
265.0,6061.25194,4487.86580,-740.57128,-5.640,36.517,1200.205031
270.0,6064.57317,4489.17657,-704.56115,-5.365,36.510,1200.185578
275.0,6067.75757,4490.38301,-668.53491,-5.090,36.503,1200.167085
280.0,6070.80500,4491.48518,-632.49341,-4.815,36.496,1200.149556
285.0,6073.71532,4492.48317,-596.43745,-4.540,36.489,1200.132991
290.0,6076.48837,4493.37705,-560.36787,-4.265,36.482,1200.117392
295.0,6079.12403,4494.16690,-524.28549,-3.990,36.475,1200.102762
300.0,6081.62216,4494.85280,-488.19113,-3.714,36.468,1200.089100
