time,x,y,z,lat,lon,alt
0.0,4785.988545,2993.275884,4051.076511,35.832,32.023,577.291051
5.0,4795.495945,3015.636838,4023.153101,35.549,32.164,577.191036
10.0,4804.878119,3037.901804,3995.110344,35.265,32.303,577.091286
15.0,4814.134719,3060.070216,3966.949073,34.981,32.442,576.991812
20.0,4823.265401,3082.141513,3938.670122,34.697,32.579,576.892627
25.0,4832.269824,3104.115135,3910.274331,34.413,32.716,576.793742
30.0,4841.147649,3125.990527,3881.762543,34.128,32.851,576.695168
35.0,4849.898542,3147.767135,3853.135601,33.843,32.985,576.596918
40.0,4858.522173,3169.444409,3824.394357,33.558,33.118,576.499004
45.0,4867.018213,3191.021804,3795.539663,33.273,33.251,576.401436
50.0,4875.386337,3212.498775,3766.572374,32.988,33.382,576.304227
55.0,4883.626226,3233.874783,3737.49335,32.702,33.512,576.207388
60.0,4891.73756,3255.149291,3708.303454,32.416,33.641,576.110931
65.0,4899.720027,3276.321764,3679.003551,32.13,33.77,576.014867
70.0,4907.573314,3297.391673,3649.594511,31.844,33.897,575.919208
75.0,4915.297115,3318.35849,3620.077206,31.557,34.024,575.823964
80.0,4922.891125,3339.221691,3590.452511,31.271,34.149,575.729148
85.0,4930.355045,3359.980756,3560.721306,30.984,34.274,575.634771
90.0,4937.688576,3380.635167,3530.884473,30.697,34.398,575.540843
95.0,4944.891426,3401.18441,3500.942896,30.41,34.521,575.447377
100.0,4951.963305,3421.627975,3470.897464,30.123,34.643,575.354383
105.0,4958.903925,3441.965353,3440.749068,29.835,34.764,575.261872
110.0,4965.713003,3462.196041,3410.498602,29.548,34.885,575.169856
115.0,4972.39026,3482.319539,3380.146964,29.26,35.005,575.078345
120.0,4978.93542,3502.335348,3349.695055,28.972,35.124,574.98735
125.0,4985.348211,3522.242975,3319.143777,28.684,35.242,574.896883
130.0,4991.628363,3542.041929,3288.494037,28.396,35.359,574.806953
135.0,4997.77561,3561.731724,3257.746744,28.107,35.476,574.717572
140.0,5003.789692,3581.311875,3226.90281,27.819,35.592,574.628751
145.0,5009.670349,3600.781902,3195.96315,27.53,35.707,574.540499
150.0,5015.417328,3620.141328,3164.928683,27.241,35.822,574.452828
155.0,5021.030376,3639.38968,3133.800328,26.952,35.936,574.365748
160.0,5026.509247,3658.526487,3102.579009,26.663,36.049,574.279269
165.0,5031.853696,3677.551284,3071.265652,26.374,36.161,574.193402
170.0,5037.063484,3696.463607,3039.861187,26.084,36.273,574.108157
175.0,5042.138373,3715.262997,3008.366544,25.795,36.384,574.023544
180.0,5047.078131,3733.948998,2976.782658,25.505,36.495,573.939573
185.0,5051.882528,3752.521157,2945.110466,25.215,36.605,573.856255
190.0,5056.551339,3770.979025,2913.350908,24.925,36.714,573.773598
195.0,5061.084343,3789.322158,2881.504925,24.635,36.823,573.691614
200.0,5065.481319,3807.550112,2849.573463,24.345,36.931,573.610312
205.0,5069.742055,3825.66245,2817.557469,24.054,37.038,573.529701
210.0,5073.866338,3843.658737,2785.457891,23.764,37.145,573.449791
215.0,5077.853963,3861.538542,2753.275684,23.473,37.252,573.370592
220.0,5081.704725,3879.301437,2721.0118,23.183,37.358,573.292114
225.0,5085.418425,3896.946999,2688.667199,22.892,37.463,573.214365
230.0,5088.994866,3914.474807,2656.242838,22.601,37.568,573.137355
235.0,5092.433857,3931.884444,2623.739679,22.31,37.672,573.061093
240.0,5095.735209,3949.175497,2591.158688,22.019,37.776,572.985589
245.0,5098.898737,3966.347556,2558.50083,21.728,37.879,572.910851
250.0,5101.924261,3983.400217,2525.767075,21.436,37.981,572.836888
255.0,5104.811603,4000.333076,2492.958393,21.145,38.084,572.763709
260.0,5107.56059,4017.145736,2460.075757,20.853,38.185,572.691323
265.0,5110.171052,4033.837801,2427.120143,20.562,38.287,572.619738
270.0,5112.642823,4050.40888,2394.092529,20.27,38.387,572.548964
275.0,5114.975742,4066.858586,2360.993895,19.978,38.488,572.479008
280.0,5117.16965,4083.186535,2327.825222,19.686,38.588,572.409879
285.0,5119.224393,4099.392348,2294.587494,19.394,38.687,572.341585
