"Time (UTCG)","Satellite12217 - x (km)","Satellite12217 - y (km)","Satellite12217 - z (km)","Lat (deg)","Lon (deg)","Alt (km)"
21 Mar 2024 10:50:00.000,-1986.308381,-5562.476093,3659.241246,31.938,-109.651,575.950501
21 Mar 2024 10:50:05.000,-1967.775196,-5549.651313,3688.609339,32.224,-109.523,576.046277
21 Mar 2024 10:50:10.000,-1949.174428,-5536.676285,3717.868009,32.510,-109.395,576.142454
21 Mar 2024 10:50:15.000,-1930.506518,-5523.551443,3747.016388,32.795,-109.265,576.239020
21 Mar 2024 10:50:20.000,-1911.771907,-5510.277222,3776.053612,33.081,-109.134,576.335963
21 Mar 2024 10:50:25.000,-1892.971037,-5496.854064,3804.978819,33.366,-109.002,576.433272
21 Mar 2024 10:50:30.000,-1874.104357,-5483.282414,3833.791152,33.651,-108.870,576.530936
21 Mar 2024 10:50:35.000,-1855.172313,-5469.562720,3862.489756,33.936,-108.736,576.628943
21 Mar 2024 10:50:40.000,-1836.175356,-5455.695436,3891.073778,34.221,-108.601,576.727281
21 Mar 2024 10:50:45.000,-1817.113939,-5441.681017,3919.542372,34.505,-108.465,576.825939
21 Mar 2024 10:50:50.000,-1797.988517,-5427.519927,3947.894693,34.790,-108.329,576.924904
21 Mar 2024 10:50:55.000,-1778.799547,-5413.212629,3976.129900,35.074,-108.191,577.024165
21 Mar 2024 10:51:00.000,-1759.547489,-5398.759592,4004.247154,35.357,-108.052,577.123710
21 Mar 2024 10:51:05.000,-1740.232804,-5384.161290,4032.245623,35.641,-107.912,577.223528
21 Mar 2024 10:51:10.000,-1720.855957,-5369.418199,4060.124475,35.924,-107.770,577.323606
21 Mar 2024 10:51:15.000,-1701.417412,-5354.530800,4087.882884,36.207,-107.628,577.423932
21 Mar 2024 10:51:20.000,-1681.917639,-5339.499578,4115.520025,36.490,-107.484,577.524496
21 Mar 2024 10:51:25.000,-1662.357108,-5324.325022,4143.035080,36.773,-107.339,577.625283
21 Mar 2024 10:51:30.000,-1642.736292,-5309.007624,4170.427232,37.055,-107.193,577.726284
21 Mar 2024 10:51:35.000,-1623.055664,-5293.547881,4197.695668,37.337,-107.046,577.827485
21 Mar 2024 10:51:40.000,-1603.315703,-5277.946292,4224.839579,37.619,-106.898,577.928874
21 Mar 2024 10:51:45.000,-1583.516886,-5262.203362,4251.858160,37.901,-106.748,578.030440
21 Mar 2024 10:51:50.000,-1563.659695,-5246.319600,4278.750610,38.182,-106.597,578.132171
21 Mar 2024 10:51:55.000,-1543.744613,-5230.295516,4305.516131,38.463,-106.444,578.234054
21 Mar 2024 10:52:00.000,-1523.772126,-5214.131626,4332.153929,38.744,-106.290,578.336077
21 Mar 2024 10:52:05.000,-1503.742720,-5197.828450,4358.663214,39.025,-106.135,578.438228
21 Mar 2024 10:52:10.000,-1483.656885,-5181.386510,4385.043199,39.305,-105.979,578.540496
21 Mar 2024 10:52:15.000,-1463.515113,-5164.806333,4411.293101,39.585,-105.821,578.642867
21 Mar 2024 10:52:20.000,-1443.317896,-5148.088450,4437.412143,39.865,-105.661,578.745330
21 Mar 2024 10:52:25.000,-1423.065731,-5131.233396,4463.399549,40.144,-105.501,578.847872
21 Mar 2024 10:52:30.000,-1402.759115,-5114.241707,4489.254548,40.423,-105.338,578.950482
21 Mar 2024 10:52:35.000,-1382.398548,-5097.113926,4514.976373,40.702,-105.174,579.053147
21 Mar 2024 10:52:40.000,-1361.984530,-5079.850598,4540.564262,40.980,-105.009,579.155855
21 Mar 2024 10:52:45.000,-1341.517566,-5062.452271,4566.017455,41.258,-104.842,579.258593
21 Mar 2024 10:52:50.000,-1320.998160,-5044.919498,4591.335197,41.536,-104.673,579.361351
