time,x,y,z,lat,lon,alt
0.0,-6098.909893,143.071732,3325.573089,28.744,178.656,574.915853
5.0,-6082.432675,130.208306,3356.138604,29.033,178.774,575.006536
10.0,-6065.785296,117.328873,3386.60456,29.321,178.892,575.097747
15.0,-6048.968261,104.433689,3416.970054,29.609,179.011,575.189473
20.0,-6031.982077,91.52301,3447.234186,29.897,179.131,575.281704
25.0,-6014.827256,78.597093,3477.396058,30.185,179.251,575.374429
30.0,-5997.504317,65.656197,3507.454775,30.472,179.373,575.467637
35.0,-5980.013782,52.700579,3537.409445,30.76,179.495,575.561317
40.0,-5962.356178,39.730501,3567.25918,31.047,179.618,575.655457
45.0,-5944.532038,26.746222,3597.003094,31.334,179.742,575.750047
50.0,-5926.541897,13.748004,3626.640306,31.621,179.867,575.845075
55.0,-5908.386297,0.736109,3656.169935,31.908,179.993,575.940529
60.0,-5890.065785,-12.289201,3685.591105,32.194,-179.88,576.036399
65.0,-5871.580911,-25.327661,3714.902945,32.481,-179.753,576.132673
70.0,-5852.93223,-38.379007,3744.104584,32.767,-179.624,576.229339
75.0,-5834.120302,-51.442973,3773.195157,33.053,-179.495,576.326387
80.0,-5815.145693,-64.519294,3802.1738,33.338,-179.364,576.423804
85.0,-5796.008971,-77.607703,3831.039653,33.624,-179.233,576.521578
90.0,-5776.71071,-90.707931,3859.791861,33.909,-179.1,576.619699
95.0,-5757.25149,-103.819711,3888.42957,34.194,-178.967,576.718154
100.0,-5737.631892,-116.942773,3916.951932,34.479,-178.832,576.816932
105.0,-5717.852504,-130.076848,3945.358099,34.764,-178.697,576.916021
110.0,-5697.913919,-143.221664,3973.647229,35.049,-178.56,577.015409
115.0,-5677.816732,-156.37695,4001.818484,35.333,-178.422,577.115084
120.0,-5657.561546,-169.542434,4029.871026,35.617,-178.284,577.215035
125.0,-5637.148965,-182.717843,4057.804025,35.901,-178.144,577.31525
130.0,-5616.5796,-195.902904,4085.616651,36.184,-178.002,577.415716
135.0,-5595.854064,-209.097341,4113.30808,36.468,-177.86,577.516422
140.0,-5574.972978,-222.300879,4140.87749,36.751,-177.717,577.617356
145.0,-5553.936963,-235.513243,4168.324063,37.034,-177.572,577.718505
150.0,-5532.746647,-248.734157,4195.646985,37.316,-177.426,577.819859
155.0,-5511.402663,-261.963342,4222.845446,37.599,-177.279,577.921404
160.0,-5489.905647,-275.20052,4249.918638,37.881,-177.13,578.023128
165.0,-5468.256239,-288.445414,4276.865759,38.163,-176.98,578.12502
170.0,-5446.455083,-301.697743,4303.686009,38.444,-176.829,578.227067
175.0,-5424.50283,-314.957227,4330.378593,38.725,-176.677,578.329258
180.0,-5402.400133,-328.223586,4356.942719,39.006,-176.523,578.43158
185.0,-5380.147648,-341.496538,4383.377598,39.287,-176.368,578.534021
